tweet_id,timestamp,source,rating_numerator,rating_denominator,dog_name,tweet_text,tweet_url,dog_shape,image_url,predicted_dog_type,confidence_level,is_dog,favorite_count,retweet_count
666020888022790149,2015-11-15 22:32:08+00:00,Twitter for iPhone,8,10,,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet ,t.co/BLDqew2Ijj,,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh_springer_spaniel,0.465074,True,2344.0,444.0
666029285002620928,2015-11-15 23:05:30+00:00,Twitter for iPhone,7,10,,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of ,t.co/r7mOb2m0UI,,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone,0.506826,True,118.0,41.0
666033412701032449,2015-11-15 23:21:54+00:00,Twitter for iPhone,9,10,,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af ,t.co/y671yMhoiR,,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German_shepherd,0.596461,True,107.0,39.0
666044226329800704,2015-11-16 00:04:52+00:00,Twitter for iPhone,6,10,,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 ,t.co/DWnyCjf2mx,,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian_ridgeback,0.408143,True,260.0,122.0
666049248165822465,2015-11-16 00:24:50+00:00,Twitter for iPhone,5,10,,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 ,t.co/4B7cOc1EDq,,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature_pinscher,0.560311,True,94.0,38.0
666050758794694657,2015-11-16 00:30:50+00:00,Twitter for iPhone,10,10,,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with ,t.co/fvIbQfHjIe,,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese_mountain_dog,0.651137,True,119.0,51.0
666051853826850816,2015-11-16 00:35:11+00:00,Twitter for iPhone,2,10,,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 ,t.co/v5A4vzSDdc,,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,box_turtle,0.933012,False,1087.0,742.0
666055525042405380,2015-11-16 00:49:46+00:00,Twitter for iPhone,10,10,,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog ,t.co/rdivxLiqEt,,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,chow,0.692517,True,398.0,211.0
666057090499244032,2015-11-16 00:55:59+00:00,Twitter for iPhone,9,10,,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare ,t.co/yWBqbrzy8O,,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,shopping_cart,0.962465,False,263.0,118.0
666058600524156928,2015-11-16 01:01:59+00:00,Twitter for iPhone,8,10,,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog ,t.co/pYAJkAe76p,,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature_poodle,0.201493,True,103.0,50.0
